Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget
Boston Planning and Development Agency,Harrison Avenue BWSC Operations,Study and design a garage to facilitate development of existing parking lots into mixed income housing and open space.,Boston Planning and Development Agency,To Be Scheduled,South End,0,0,0,1000000,0,0,0,0,0,0,0,200000,200000,600000,0,1000000
Boston Public Schools,O'Donnell School Yard Improvements,Improvements to the playground and school yard.,Boston Public Schools,In Design,East Boston,700000,0,0,0,0,0,0,0,0,700000,0,0,0,0,0,700000
Property Management Department,Old State House,Design accessibility improvements as part of a larger renovation at the Old State House building.,Property Management Department,To Be Scheduled,Downtown/Government Center,0,0,0,500000,0,0,0,0,0,0,0,50000,200000,250000,0,500000
Fire Department,Engine 17 Phase 2,"Design and construction of fueling station, additional parking, landscaping improvements, and demolition of the existing Engine 17 fire station.",Public Facilities Department,To Be Scheduled,Dorchester,5000000,0,0,0,0,0,0,0,350000,4650000,0,0,0,0,0,5000000
Transportation Department,Reconnecting Communities,Conduct a feasibility study and initial design for a new park built on a deck over the I-90 highway and MBTA tracks between Shawmut Ave. and Washington Street.,Transportation Department,To Be Scheduled,Chinatown,600000,0,0,1800000,0,0,0,50000,200000,350000,0,0,150000,1650000,0,2400000
Boston Public Schools,Long-term Facilities Improvements,Funding for the design and construction of school facilities related to the implementation of Boston Public School's long-term facilities plan.,Public Facilities Department,New Project,Citywide,10966705,39033295,0,0,0,0,0,0,0,50000000,0,0,0,0,0,50000000
Boston Public Schools,King K-8 School Renovation,Study and design of the King K-8 School to result in major renovations and improvements.,Public Facilities Department,To Be Scheduled,Dorchester,5000000,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,5000000
Property Management Department,Facilities Condition Assessment,"Conduct a citywide assessment of municipal facilities, including BYCF centers, police and fire stations, office spaces, and other city buildings.",Public Facilities Department,Study Underway,Citywide,5000000,0,0,0,0,0,0,400000,2139836,2460164,0,0,0,0,0,5000000
Boston Public Schools,BCLA / McCormack School Phase 2 Renovation,Major renovations to the BCLA / McCormack School building to support the 7-12 grade configuration.,Public Facilities Department,To Be Scheduled,Dorchester,12000000,0,0,0,0,0,0,0,0,12000000,0,0,0,0,0,12000000
Boston Public Schools,Property Acquisition for Schools,Identify and acquire property throughout the city that could be used for the building of new schools.,Public Facilities Department,To Be Scheduled,Citywide,4000000,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,4000000
Boston Public Schools,Shaw School and Taylor School Study and Design,"Study and design for a consolidated school, combining the Shaw and Taylor schools. If selected, the project may be implemented in conjunction with the MSBA school building construction program.",Public Facilities Department,To Be Scheduled,Mattapan,0,0,50000000,0,0,0,0,0,500000,49500000,0,0,0,0,0,50000000
