DATE,BOXRHTSA
2003-04-01,142.092812451659
2003-05-01,142.610118962764
2003-06-01,142.952292881517
2003-07-01,143.50643643701798
2003-08-01,144.403878081339
2003-09-01,145.734802697567
2003-10-01,147.005043006367
2003-11-01,148.527704143057
2003-12-01,149.459637131429
2004-01-01,150.298187285791
2004-02-01,151.301252419195
2004-03-01,152.280549010103
2004-04-01,154.028588634372
2004-05-01,154.802975152234
2004-06-01,156.401931676224
2004-07-01,156.934327889307
2004-08-01,157.514950269053
2004-09-01,157.911213998931
2004-10-01,158.945508361853
2004-11-01,160.208033965089
2004-12-01,161.316570269102
2005-01-01,162.88843455481398
2005-02-01,164.84140816349
2005-03-01,166.23924987975
2005-04-01,166.824085221434
2005-05-01,166.504492345558
2005-06-01,165.86077795441298
2005-07-01,166.216315987783
2005-08-01,166.393095216543
2005-09-01,166.803079311086
2005-10-01,166.232840093857
2005-11-01,166.222335131578
2005-12-01,165.846185174205
2006-01-01,165.976887239948
2006-02-01,165.34522569488502
2006-03-01,163.794366578375
2006-04-01,164.078680956756
2006-05-01,163.215478699519
2006-06-01,162.877687544835
2006-07-01,162.228619516945
2006-08-01,161.80536843970302
2006-09-01,160.400130556609
2006-10-01,160.472159466324
2006-11-01,158.807249172345
2006-12-01,158.23713131864702
2007-01-01,157.382550111532
2007-02-01,157.51309808853398
2007-03-01,158.62363749795
2007-04-01,158.93087528281401
2007-05-01,159.585232261087
2007-06-01,158.971417147078
2007-07-01,158.9572573889
2007-08-01,158.269540823894
2007-09-01,158.799896259787
2007-10-01,158.696911529369
2007-11-01,158.4107144106
2007-12-01,157.676275128761
2008-01-01,157.372846910514
2008-02-01,156.016980373388
2008-03-01,154.3178490061
2008-04-01,154.669515246995
2008-05-01,155.333525070377
2008-06-01,155.213479296455
2008-07-01,154.186699297659
2008-08-01,154.09892078054
2008-09-01,153.69290011809798
2008-10-01,153.11505786005802
2008-11-01,151.526337892772
2008-12-01,150.62786635103998
2009-01-01,149.420050991627
2009-02-01,149.127142542512
2009-03-01,147.863761369772
2009-04-01,146.730810243192
2009-05-01,145.428226691225
2009-06-01,145.996878037837
2009-07-01,146.236865007896
2009-08-01,146.522187536452
2009-09-01,146.781776265872
2009-10-01,146.713640766842
2009-11-01,148.510484406342
2009-12-01,149.413717005486
2010-01-01,149.714120743877
2010-02-01,149.569433907514
2010-03-01,149.35574860338698
2010-04-01,149.591169129876
2010-05-01,149.535016996645
2010-06-01,149.463917496905
2010-07-01,149.718415121476
2010-08-01,149.562504534842
2010-09-01,148.977525951193
2010-10-01,148.342097980198
2010-11-01,148.50898084315
2010-12-01,149.381502015665
2011-01-01,150.474653201849
2011-02-01,150.94271446859
2011-03-01,149.589664759095
2011-04-01,147.76742573437
2011-05-01,149.079989761068
2011-06-01,150.35992169690098
2011-07-01,149.519884386879
2011-08-01,148.90962951818702
2011-09-01,148.514281141017
2011-10-01,148.907416832657
2011-11-01,148.133069140618
2011-12-01,146.994716441533
2012-01-01,147.320237295547
2012-02-01,147.441821603242
2012-03-01,147.941371928649
2012-04-01,146.243708295367
2012-05-01,147.398821865093
2012-06-01,148.478934031382
2012-07-01,149.66178728488399
2012-08-01,150.761740718959
2012-09-01,150.87031463328898
2012-10-01,150.416513070375
2012-11-01,150.012928482703
2012-12-01,151.04811568268101
2013-01-01,151.176663110564
2013-02-01,152.273448869601
2013-03-01,153.49505537016302
2013-04-01,155.56848481629
2013-05-01,156.572354842148
2013-06-01,157.702356462287
2013-07-01,158.39057383653298
2013-08-01,159.265404430168
2013-09-01,160.774699103299
2013-10-01,161.965987067743
2013-11-01,164.48076960494498
2013-12-01,164.757390688372
2014-01-01,164.578311639264
2014-02-01,164.09278795360902
2014-03-01,164.95213905590902
2014-04-01,169.150579786238
2014-05-01,169.023263245326
2014-06-01,168.202512110884
2014-07-01,166.909398694639
2014-08-01,167.37818592585
2014-09-01,168.194950517922
2014-10-01,168.824726036768
2014-11-01,169.768495500753
2014-12-01,169.423067520483
2015-01-01,171.224435118643
2015-02-01,171.16416270507
2015-03-01,170.784334916522
2015-04-01,168.567639419448
2015-05-01,170.440881246843
2015-06-01,172.077966273677
2015-07-01,173.438254621728
2015-08-01,173.789669087001
2015-09-01,173.904259170291
2015-10-01,174.97293028522898
2015-11-01,174.773066480049
2015-12-01,175.41157485315898
2016-01-01,175.60662265495603
2016-02-01,176.15303406143101
2016-03-01,177.19960400992298
2016-04-01,176.154675723013
2016-05-01,176.97878356383202
2016-06-01,176.229668140139
2016-07-01,176.994829972165
2016-08-01,177.653832987887
2016-09-01,178.30590522577702
2016-10-01,178.866218482653
2016-11-01,179.985639289401
2016-12-01,182.15964039896
2017-01-01,183.28684585483398
2017-02-01,184.471613799494
2017-03-01,185.11795040940498
2017-04-01,184.296926847424
2017-05-01,184.729759814472
2017-06-01,185.29791974446601
2017-07-01,186.931282032284
2017-08-01,187.935789972869
2017-09-01,188.99454800999598
2017-10-01,189.214769433774
2017-11-01,189.408254856344
2017-12-01,190.057604461012
2018-01-01,191.38487701207902
2018-02-01,194.47969547545102
2018-03-01,193.978749782445
2018-04-01,196.15857786273702
2018-05-01,196.207543810664
2018-06-01,197.24113334101398
2018-07-01,196.521709034819
2018-08-01,196.873042644365
2018-09-01,197.391301745249
2018-10-01,198.682929319334
2018-11-01,199.69821087856602
2018-12-01,199.569106953449
2019-01-01,199.498362175657
2019-02-01,198.907504269519
2019-03-01,200.06479231390801
2019-04-01,201.548923097085
2019-05-01,201.07313114846
2019-06-01,202.248157107696
2019-07-01,201.82144345762
2019-08-01,202.659492375554
2019-09-01,202.002793454722
2019-10-01,203.190440179566
2019-11-01,204.276888866684
2019-12-01,205.62669275018902
2020-01-01,205.17888625150798
2020-02-01,205.49467963418
2020-03-01,206.446376737369
2020-04-01,206.221723697432
2020-05-01,206.31855023683102
2020-06-01,206.10868400999698
2020-07-01,208.712664041702
2020-08-01,211.260489617224
2020-09-01,215.512185191111
2020-10-01,219.85623618129398
2020-11-01,224.29354455036201
2020-12-01,227.30634618077002
2021-01-01,229.33968468317403
2021-02-01,231.611870100443
2021-03-01,233.79842723426498
2021-04-01,236.23938204481001
2021-05-01,238.810540962276
2021-06-01,242.252237840188
2021-07-01,245.90966483458098
2021-08-01,249.044457461754
2021-09-01,252.85630259405102
2021-10-01,253.986167439829
2021-11-01,254.431717021964
2021-12-01,259.134693861144
2022-01-01,262.15373003243803
2022-02-01,270.699590615242
2022-03-01,274.078045214715
2022-04-01,277.121415823391
2022-05-01,281.56403734354
2022-06-01,282.5328838055
2022-07-01,282.054993399459
2022-08-01,279.729173142377
2022-09-01,275.840194877048
2022-10-01,275.151409023987
2022-11-01,274.963663315229
2022-12-01,275.196783007133
2023-01-01,275.553056007216
2023-02-01,275.447892285441
2023-03-01,275.10244732504503
2023-04-01,278.13407622464
2023-05-01,280.32570311967004
2023-06-01,281.968069069289
2023-07-01,282.83010456393396
2023-08-01,285.6737362117
2023-09-01,288.850214995717
2023-10-01,290.575579304842
2023-11-01,290.174386173733
2023-12-01,290.728592421692
2024-01-01,289.843178296588
2024-02-01,296.062813628968
2024-03-01,297.67917371587697
2024-04-01,299.488408211264
2024-05-01,298.688881155485
2024-06-01,299.556811553088
2024-07-01,300.399880814522
2024-08-01,300.15605900067004
